training_percentage,training_set_size,validation_set_size,test_set_size,total_sequences,test_accuracy,experiment_number
100,3387,724,726,4837,98.62258953168043,1
95,3217,724,726,4837,98.7603305785124,2
90,3048,724,726,4837,98.89807162534436,3
85,2878,724,726,4837,98.7603305785124,4
80,2709,724,726,4837,98.62258953168043,5
75,2540,724,726,4837,98.7603305785124,6
70,2370,724,726,4837,99.0358126721763,7
65,2201,724,726,4837,99.0358126721763,8
60,2032,724,726,4837,98.62258953168043,9
55,1862,724,726,4837,98.62258953168043,10
50,1693,724,726,4837,98.34710743801654,11
45,1524,724,726,4837,98.34710743801654,12
40,1354,724,726,4837,97.7961432506887,13
35,1185,724,726,4837,98.07162534435263,14
30,1016,724,726,4837,96.55647382920111,15
25,846,724,726,4837,96.28099173553719,16
20,677,724,726,4837,95.45454545454545,17
15,508,724,726,4837,93.66391184573003,18
10,338,724,726,4837,92.42424242424242,19
5,169,724,726,4837,90.9090909090909,20
